id,胜,平,负,胜概率,平概率,负概率,返概率,凯利走势1,凯利走势2,凯利走势3
2235327,3.74,3.41,2.03,25.39,27.84,46.77,94.94,0.95,0.95,0.95
2233796,2.99,3.06,2.53,31.66,30.93,37.41,94.65,0.95,0.95,0.95
500795,2.9,3.28,2.51,32.90,29.09,38.01,95.41,0.95,0.95,0.95
2233121,32.02,12.87,1.06,2.97,7.38,89.65,95.03,0.95,0.95,0.95
2233798,1.69,3.88,4.78,55.89,24.35,19.76,94.46,0.94,0.94,0.94
500862,2.38,3.01,3.39,40.12,31.72,28.16,95.48,0.95,0.95,0.95
500853,2.25,3.49,3.15,42.39,27.33,30.28,95.38,0.95,0.95,0.95
500279,2.56,3.34,2.79,37.26,28.56,34.19,95.38,0.95,0.95,0.95
500467,2.19,3.05,3.75,43.44,31.19,25.37,95.13,0.95,0.95,0.95
500854,7.42,4.1,1.49,12.84,23.23,63.93,95.25,0.95,0.95,0.95
500652,1.74,3.75,4.75,54.64,25.35,20.01,95.07,0.95,0.95,0.95
500856,1.26,6.31,10.64,75.87,15.15,8.98,95.59,0.96,0.96,0.96
500273,3.76,3.4,2.04,25.32,28.00,46.67,95.21,0.95,0.95,0.95
500858,2.66,3.1,2.86,35.87,30.78,33.36,95.40,0.95,0.95,0.95
500645,1.52,4.26,6.34,62.63,22.35,15.02,95.20,0.95,0.95,0.95
500470,1.85,3.6,4.28,51.38,26.41,22.21,95.06,0.95,0.95,0.95
500469,1.53,4.33,6.08,62.31,22.02,15.68,95.33,0.95,0.95,0.95
500644,1.36,5.85,7.01,70.10,16.30,13.60,95.34,0.95,0.95,0.95
500649,3.23,3.56,2.18,29.51,26.77,43.72,95.31,0.95,0.95,0.95
500466,7.86,4.74,1.4,12.09,20.05,67.87,95.01,0.95,0.95,0.95
500648,3.3,3.6,2.16,29.03,26.61,44.35,95.81,0.96,0.96,0.96
500857,1.39,4.97,7.72,68.51,19.16,12.33,95.22,0.95,0.95,0.95
500651,2.84,3.63,2.37,33.55,26.25,40.20,95.28,0.95,0.95,0.95
500272,2.87,3.1,2.63,33.14,30.69,36.17,95.13,0.95,0.95,0.95
501037,2.5,3.27,2.88,37.99,29.04,32.97,94.96,0.95,0.95,0.95
500277,1.28,5.68,11.03,74.55,16.80,8.65,95.42,0.95,0.95,0.95
500861,6.55,4.15,1.53,14.58,23.01,62.41,95.49,0.95,0.95,0.95
500281,3.33,3.64,2.1,28.57,26.13,45.30,95.13,0.95,0.95,0.95
500463,3.43,3.2,2.25,27.81,29.80,42.39,95.38,0.95,0.95,0.95
501040,3.63,2.99,2.25,26.13,31.72,42.15,94.84,0.95,0.95,0.95
500465,1.89,3.29,4.6,50.37,28.94,20.70,95.20,0.95,0.95,0.95
500278,2.14,3.28,3.57,44.41,28.97,26.62,95.03,0.95,0.95,0.95
500274,2.02,3.51,3.71,47.17,27.15,25.68,95.28,0.95,0.95,0.95
501343,2.49,3.71,2.65,38.30,25.71,35.99,95.37,0.95,0.95,0.95
2620681,2.14,3.55,3.28,44.34,26.73,28.93,94.89,0.95,0.95,0.95
2620689,2.04,3.51,3.55,46.39,26.96,26.66,94.63,0.95,0.95,0.95
2620683,2.2,3.02,3.72,43.11,31.40,25.49,94.83,0.95,0.95,0.95
2620685,1.15,8.02,16.09,82.31,11.80,5.88,94.66,0.95,0.95,0.95
2620675,3.19,3.24,2.31,29.71,29.25,41.03,94.78,0.95,0.95,0.95
501339,1.18,7.74,15.14,81.27,12.39,6.33,95.90,0.96,0.96,0.96
2620674,1.86,3.39,4.53,51.04,28.00,20.96,94.93,0.95,0.95,0.95
500791,1.97,3.53,3.89,48.44,27.03,24.53,95.42,0.95,0.95,0.95
501337,1.58,4.38,5.33,60.34,21.77,17.89,95.34,0.95,0.95,0.95
2620678,2.04,3.52,3.57,46.49,26.94,26.57,94.84,0.95,0.95,0.95
501335,1.18,7.91,13.75,80.97,12.08,6.95,95.55,0.96,0.96,0.96
456416,1.9,3.4,4.41,50.26,28.09,21.65,95.49,0.95,0.96,0.95
500778,2.76,3.52,2.48,34.52,27.07,38.42,95.27,0.95,0.95,0.95
500289,2.76,3.09,2.72,34.39,30.72,34.89,94.91,0.95,0.95,0.95
500474,2.22,2.98,3.77,42.85,31.92,25.23,95.12,0.95,0.95,0.95
500288,5.16,3.68,1.7,18.39,25.79,55.82,94.90,0.95,0.95,0.95
500870,2.33,3.45,3.05,41.00,27.69,31.32,95.52,0.96,0.96,0.96
500475,2.3,3.12,3.37,41.33,30.47,28.21,95.05,0.95,0.95,0.95
500480,1.6,4.14,5.35,59.33,22.93,17.74,94.93,0.95,0.95,0.95
500864,2.08,3.25,3.81,45.75,29.28,24.97,95.15,0.95,0.95,0.95
500658,2.03,3.49,3.66,46.81,27.23,25.96,95.02,0.95,0.95,0.95
500656,2.1,3.32,3.62,45.19,28.59,26.22,94.91,0.95,0.95,0.95
500476,2.3,3.28,3.18,41.25,28.92,29.83,94.87,0.95,0.95,0.95
500659,5.81,5.35,1.45,16.41,17.82,65.76,95.36,0.95,0.95,0.95
500286,1.36,5.19,8.12,69.95,18.33,11.72,95.14,0.95,0.95,0.95
500657,1.56,4.41,5.4,60.88,21.54,17.59,94.97,0.95,0.95,0.95
500287,3.75,3.94,1.88,25.34,24.12,50.54,95.02,0.95,0.95,0.95
500869,1.61,4.13,5.29,59.03,23.01,17.96,95.03,0.95,0.95,0.95
500872,2.47,3.27,2.96,38.61,29.17,32.22,95.37,0.95,0.95,0.95
500863,1.43,4.76,7.07,66.55,19.99,13.46,95.16,0.95,0.95,0.95
500655,1.67,4.19,4.73,57.09,22.75,20.16,95.34,0.95,0.95,0.95
500473,2.46,3.2,3.01,38.67,29.73,31.60,95.13,0.95,0.95,0.95
500290,4.96,3.71,1.72,19.15,25.61,55.24,95.01,0.95,0.95,0.95
500661,9.08,5.42,1.32,10.47,17.53,72.00,95.04,0.95,0.95,0.95
500653,1.31,5.63,9.41,72.89,16.96,10.15,95.49,0.95,0.95,0.96
500866,1.39,4.8,8.21,68.55,19.85,11.61,95.28,0.95,0.95,0.95
500284,3.45,3.44,2.12,27.55,27.63,44.83,95.03,0.95,0.95,0.95
500282,1.33,5.21,9.06,71.32,18.21,10.47,94.86,0.95,0.95,0.95
500472,1.32,5.28,9.64,72.10,18.03,9.87,95.17,0.95,0.95,0.95
500479,1.6,3.77,6.19,59.42,25.22,15.36,95.07,0.95,0.95,0.95
500871,1.63,4.06,5.27,58.45,23.47,18.08,95.28,0.95,0.95,0.95
2136251,3.53,3.33,2.18,27.18,28.81,44.01,95.94,0.96,0.96,0.96
2620684,2.15,3.2,3.6,44.07,29.61,26.32,94.75,0.95,0.95,0.95
2620679,2.16,3.58,3.22,43.97,26.53,29.50,94.98,0.95,0.95,0.95
2620682,2.33,3.68,2.81,40.61,25.71,33.67,94.63,0.95,0.95,0.95
501341,4.25,3.34,1.94,22.41,28.51,49.08,95.22,0.95,0.95,0.95
2620677,2.11,3.51,3.39,44.97,27.04,27.99,94.89,0.95,0.95,0.95
501333,2.16,3.2,3.68,44.21,29.84,25.95,95.49,0.95,0.95,0.95
500843,3.74,3.74,1.95,25.52,25.52,48.95,95.46,0.95,0.95,0.95
2620686,7.89,4.98,1.37,11.99,18.99,69.03,94.57,0.95,0.95,0.95
500777,2.37,3.21,3.2,40.34,29.78,29.88,95.61,0.96,0.96,0.96
