id,主场,客场,比赛,时间,主场得分,客场得分,胜赔率,平赔率,负赔率,胜预测值,平预测值,负预测值
500591,沃尔夫斯堡,柏林赫塔,德甲,2022-01-15 22:30,0.0,0.0,1.91,3.50,4.00,62,21,17
500598,科隆,拜仁,德甲,2022-01-15 22:30,0.0,4.0,8.50,5.50,1.30,3,21,76
500595,美因茨,波鸿,德甲,2022-01-15 22:30,1.0,0.0,1.62,3.75,5.80,32,39,29
500802,狼队,南安普顿,英超,2022-01-15 23:00,3.0,1.0,2.25,3.20,3.30,21,40,39
2219861,马略卡,西班牙人,国王杯,2022-01-15 23:00,2.0,1.0,2.30,2.75,3.30,52,27,21
501657,普雷斯顿,伯明翰,英冠,2022-01-15 23:00,1.0,1.0,2.15,3.25,3.40,22,40,38
501658,女王公园,西布罗姆,英冠,2022-01-15 23:00,1.0,0.0,2.75,3.20,2.60,27,33,40
500980,圣埃蒂安,朗斯,法甲,2022-01-16 00:00,1.0,2.0,3.20,3.30,2.25,33,41,26
500793,阿斯顿维拉,曼联,英超,2022-01-16 01:30,2.0,2.0,3.60,3.70,1.95,19,29,52
2219860,赫罗纳,巴列卡诺,国王杯,2022-01-16 01:30,1.0,2.0,2.60,2.88,2.75,29,35,36
500593,门兴,勒沃库森,德甲,2022-01-16 01:30,1.0,2.0,2.50,3.40,2.70,32,29,39
501154,奈梅亨,赫拉克勒斯,荷甲,2022-01-16 01:45,0.0,0.0,2.45,3.25,2.80,51,21,28
502181,本菲卡,莫雷拉人,葡超,2022-01-16 02:00,1.0,1.0,1.15,7.00,17.00,76,17,7
500019,图卢兹,波城,法乙,2022-01-16 02:00,1.0,1.0,1.67,3.60,5.00,29,39,32
500016,甘冈,格勒诺布尔,法乙,2022-01-16 02:00,0.0,0.0,1.91,3.20,4.20,21,43,36
505269,几内亚比绍,埃及,非洲杯,2022-01-16 03:00,0.0,1.0,11.00,3.90,1.36,1,27,72
501155,费耶诺德,维特斯,荷甲,2022-01-16 03:00,0.0,1.0,1.50,4.33,5.80,58,25,17
500014,索肖,卡昂,法乙,2022-01-16 03:00,3.0,2.0,1.80,3.30,4.50,27,40,33
501160,特温特,海伦芬,荷甲,2022-01-16 03:00,2.0,0.0,2.00,3.50,3.50,60,21,19
501156,前进之鹰,瓦尔韦克,荷甲,2022-01-16 04:00,0.0,2.0,2.10,3.50,3.30,40,28,32
500977,巴黎,布雷斯特,法甲,2022-01-16 04:00,2.0,0.0,1.15,7.00,19.00,70,20,10
501158,乌德勒支,阿贾克斯,荷甲,2022-01-16 19:15,0.0,3.0,6.00,4.75,1.44,8,23,69
500220,萨索洛,维罗纳,意甲,2022-01-16 19:30,2.0,4.0,2.20,3.60,3.10,30,33,37
501462,桑德豪森,雷根斯堡,德乙,2022-01-16 20:30,0.0,3.0,2.90,3.40,2.25,29,43,28
501457,沙尔克,荷尔斯泰因,德乙,2022-01-16 20:30,1.0,1.0,1.85,3.60,3.80,25,38,37
500407,埃尔切,比利亚,西甲,2022-01-16 21:00,1.0,0.0,4.00,3.30,1.95,21,46,33
501159,坎布尔,鹿特丹,荷甲,2022-01-16 21:30,1.0,1.0,2.38,3.50,2.75,35,28,37
501157,格罗宁根,埃因霍温,荷甲,2022-01-16 21:30,0.0,1.0,8.00,4.75,1.36,5,23,72
500801,西汉姆联,利兹联,英超,2022-01-16 22:00,2.0,3.0,1.70,4.00,4.50,51,27,22
500221,威尼斯,恩波利,意甲,2022-01-16 22:00,1.0,1.0,2.70,3.50,2.45,28,30,42
500975,摩纳哥,克莱蒙,法甲,2022-01-16 22:00,4.0,0.0,1.44,4.33,7.00,53,28,19
500981,斯特拉斯堡,蒙彼利埃,法甲,2022-01-16 22:00,3.0,1.0,1.83,3.60,4.20,45,30,25
500796,利物浦,布伦特福德,英超,2022-01-16 22:00,3.0,0.0,1.30,5.50,9.50,66,21,13
500596,奥格斯堡,法兰克福,德甲,2022-01-16 22:30,1.0,1.0,3.10,3.40,2.25,34,40,26
2219858,贝蒂斯,塞维利亚,国王杯,2022-01-16 23:00,2.0,1.0,2.70,2.90,2.60,27,35,38
501161,福图纳,阿尔克马尔,荷甲,2022-01-16 23:45,1.0,2.0,6.50,4.60,1.44,7,24,69
500597,比勒菲尔德,菲尔特,德甲,2022-01-17 00:30,2.0,2.0,1.85,3.50,4.20,64,21,15
500217,罗马,卡利亚里,意甲,2022-01-17 01:00,1.0,0.0,1.40,4.60,8.00,62,24,14
502185,法马利康,费雷拉,葡超,2022-01-17 02:30,0.0,0.0,2.15,3.10,3.60,22,41,37
500212,亚特兰大,国米,意甲,2022-01-17 03:45,0.0,0.0,3.10,3.70,2.15,35,38,27
502180,贝伦SAD,波尔图,葡超,2022-01-17 04:30,1.0,4.0,17.00,6.50,1.17,1,17,82
500216,AC米兰,斯佩齐亚,意甲,2022-01-18 01:30,1.0,2.0,1.30,5.00,11.00,67,22,11
502618,多德勒支,阿尔克青年,荷乙,2022-01-18 03:00,2.0,0.0,3.20,3.50,2.00,25,43,32
500214,佛罗伦萨,热那亚,意甲,2022-01-18 03:45,6.0,0.0,1.44,4.20,7.50,60,26,14
502186,波尔蒂芒人,吉马良斯,葡超,2022-01-18 04:15,1.0,1.0,2.25,3.10,3.25,36,33,31
501440,科隆,汉堡,德国杯,2022-01-19 01:30,0.0,0.0,1.57,3.75,5.00,46,31,23
500404,贝蒂斯,阿拉维斯,西甲,2022-01-19 03:00,4.0,0.0,1.53,3.90,6.50,57,27,16
